id,Cod,Plan,Accion,Actividad,Tipo_plan,Parada,Relevancia,Especialidad,D,S,2S,M,MC,2M,T,SE,8M,A,1.5A,2A,3A,4A,5A,6A,8A,10A,1000,1300,1800,6000,22500,40000,55000,55000C,Verificacion,Trabajo,Observaciones,Unidad de Medida,Tipo de Valor,Metrica (Nombre),Permitir Omitir,Programacion Anticipada
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,MEL,MOTOR ELECTRICO PRINCIPAL,,,Plan,,,,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,,,,,,
2.0,MEPA-A01,MOTOR ELECTRICO PRINCIPAL,VERIFICAR,"Verificar la ausencia de ruidos y vibraciones anormales, no tocar el motor.",Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,True,True
3.0,MEPA-A02,MOTOR ELECTRICO PRINCIPAL,VERIFICAR,Verificación de marcas de tornillería del motor ( no tocar el motor),Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,True,True
4.0,MEPA-A03,MOTOR ELECTRICO PRINCIPAL,ANOTAR,Ausencia de exceso de lubricante en superficies contiguas a los rodamientos.,Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,True,True
5.0,1,MOTOR ELECTRICO PRINCIPAL,ANOTAR,Registrar la temperatura del motor electrico principal,Tarea,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,°C,Decimal,Temperatura Motor ,True,True
6.0,MEPA-A04,MOTOR ELECTRICO PRINCIPAL,VERIFICAR,Ausencia de exceso de lubricante en superficies contiguas a los rodamientos.,Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,True,True
7.0,MEPA-A05,MOTOR ELECTRICO PRINCIPAL,VERIFICAR,El funcionamiento del motor ventilador a temperatura de activación,Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,True,True
8.0,MEPA-A06,MOTOR ELECTRICO PRINCIPAL,VERIFICAR,Verificacion del correcto ajuste de los puntos de lubricación o alemitas.,Actividad,True,BAJA,MECANICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,,,,True,True
9.0,MEPA-A07,MOTOR ELECTRICO PRINCIPAL,VERIFICAR,"Verificacion de marcas del ajuste y tornillería de tapas, bandejas y accesorios",Actividad,True,BAJA,MECANICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,,,,True,True
10.0,MEPA-A08,MOTOR ELECTRICO PRINCIPAL,LIMPIAR,Limpieza de las superficies del motor y  superficies de la tapa de refrigeración,Actividad,True,MEDIA,ELECTROMECANICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,,,,True,True
11.0,MEPA-A09,MOTOR ELECTRICO PRINCIPAL,ANOTAR,"Nivel de tensiones, Nivel de corrientes, en el motor",Actividad,False,MEDIA,ELECTRICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,,,,True,True
12.0,2,MOTOR ELECTRICO PRINCIPAL,ANOTAR,Registrar la corriente en la fase U en [A] del motor electrico principal en HMI,Tarea,False,MEDIA,ELECTRICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,Amperios,Decimal,Corriente U Motor ,True,True
13.0,3,MOTOR ELECTRICO PRINCIPAL,ANOTAR,Registrar la corriente en la fase V en [A] del motor electrico principal en HMI,Tarea,False,MEDIA,ELECTRICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,Amperios,Decimal,Corriente V Motor ,True,True
14.0,4,MOTOR ELECTRICO PRINCIPAL,ANOTAR,Registrar la corriente en la fase W en [A] del motor electrico principal en HMI,Tarea,False,MEDIA,ELECTRICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,Amperios,Decimal,Corriente W Motor ,True,True
15.0,5,MOTOR ELECTRICO PRINCIPAL,ANOTAR,Registrar el nivel de tensión  de las fases U-V en [V] del motor electrico principal en HMI,Tarea,False,MEDIA,ELECTRICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,Voltios,Decimal,Tensión UV Motor ,True,True
16.0,6,MOTOR ELECTRICO PRINCIPAL,ANOTAR,Registrar el nivel de tensión  de las fases U-W en [V] del motor electrico principal en HMI,Tarea,False,MEDIA,ELECTRICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,Voltios,Decimal,Tensión UW Motor ,True,True
17.0,7,MOTOR ELECTRICO PRINCIPAL,ANOTAR,Registrar el nivel de tensión  de las fases W-V en [V] del motor electrico principal en HMI,Tarea,False,MEDIA,ELECTRICO,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,Voltios,Decimal,Tensión WV Motor ,True,True
