id,Cod,Plan,Accion,Actividad,Tipo_plan,Parada,Relevancia,Especialidad,D,S,2S,M,MC,2M,T,SE,8M,A,1.5A,2A,3A,4A,5A,6A,8A,10A,1000,1300,1800,6000,22500,40000,55000,55000C,Verificacion,Trabajo,Observaciones,Unidad de Medida,Tipo de Valor,Metrica (Nombre),Permitir Omitir,Programacion Anticipada
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,MEPA,MOTOR ELECTRICO PRINCIPAL (LBD),,,Plan,,,,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,,,,,,
1.0,MEPA-A01,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,"Verificar la ausencia de ruidos y vibraciones anormales, no tocar el moto",Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,False,True
2.0,MEPA-A02,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,Verificación de marcas de tornillería del motor ( no tocar el motor),Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,False,True
3.0,MEPA-A03,MOTOR ELECTRICO PRINCIPAL (LBD),ANOTAR,Anotar la temperatura del motor en el HMI (horario de mayor carga),Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,False,True
4.0,1,MOTOR ELECTRICO PRINCIPAL (LBD),ANOTAR,Registrar la temperatura del motor electrico principal,Tarea,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,°C,Decimal,Temperatura Motor ,False,True
4.0,MEPA-A04,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,Ausencia de exceso de lubricante en superficies contiguas a los rodamientos.,Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,False,True
5.0,MEPA-A05,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,El funcionamiento del motor ventilador a temperatura de activación,Actividad,False,MEDIA,OPERATIVA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspección Diaria,,,,,False,True
6.0,MEPA-A06,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,Verificacion del correcto ajuste de los puntos de lubricación o alemitas.,Actividad,True,BAJA,MECANICO,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,,,,False,True
7.0,MEPA-A07,MOTOR ELECTRICO PRINCIPAL (LBD),VERIFICAR,"Verificacion de marcas del ajuste y tornillería de tapas, bandejas y accesorios",Actividad,True,BAJA,MECANICO,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Inspeccion Mensual,,,,,False,True
